state,candidate,party,total_votes_winner,total_votes_total,score
Alabama,Donald Trump,REP,1441168,2323304,0.6203096968799606
Alaska,Donald Trump,REP,189892,391346,0.48522790574070007
Arizona,Joe Biden,DEM,1672143,3387326,-0.49364690614366613
Arkansas,Donald Trump,REP,760647,1219069,0.6239572985614432
California,Joe Biden,DEM,11109764,17495906,-0.6349922090345022
Colorado,Joe Biden,DEM,1804352,3256953,-0.5540000116673468
Connecticut,Joe Biden,DEM,1080680,1824280,-0.5923871335540597
Delaware,Joe Biden,DEM,296268,504010,-0.5878216702049562
District of Columbia,Joe Biden,DEM,317323,344356,-0.9214969392140692
Florida,Donald Trump,REP,5668731,11067456,0.5121981962250404
Georgia,Joe Biden,DEM,2473633,4997716,-0.4949526943907977
Hawaii,Joe Biden,DEM,366130,574469,-0.6373363923901899
Idaho,Donald Trump,REP,554119,868106,0.6383079946458151
Illinois,Joe Biden,DEM,4253153,7215501,-0.5894466648954799
Indiana,Donald Trump,REP,1729852,3033198,0.5703063235568532
Iowa,Donald Trump,REP,897672,1690871,0.5308932496920227
Kansas,Donald Trump,REP,758100,1349567,0.5617357270887625
Kentucky,Donald Trump,REP,1326646,2136768,0.6208657186929044
Louisiana,Donald Trump,REP,1255776,2148062,0.5846088241400853
Maine,Joe Biden,DEM,430473,813740,-0.5290055791776243
Maryland,Joe Biden,DEM,1985023,3037030,-0.6536066486007711
Massachusetts,Joe Biden,DEM,2382202,3631402,-0.6560006300596849
Michigan,Joe Biden,DEM,2804040,5539302,-0.5062081829082437
Minnesota,Joe Biden,DEM,1717077,3277171,-0.5239509930974001
Mississippi,Donald Trump,REP,756764,1315182,0.575406293577619
Missouri,Donald Trump,REP,1718736,3025962,0.5679965577888949
Montana,Donald Trump,REP,343602,605750,0.5672340074288073
Nebraska,Donald Trump,REP,556846,956379,0.5822440685125876
Nevada,Joe Biden,DEM,703486,1405376,-0.5005678195728402
New Hampshire,Joe Biden,DEM,424921,804430,-0.5282261974317218
New Jersey,Joe Biden,DEM,2608335,4564234,-0.5714726720847354
New Mexico,Joe Biden,DEM,501614,923965,-0.5428928584957222
New York,Joe Biden,DEM,5244006,8613546,-0.6088091942621541
North Carolina,Donald Trump,REP,2758773,5524801,0.4993434152650928
North Dakota,Donald Trump,REP,235595,361819,0.6511404873707572
Ohio,Donald Trump,REP,3154834,5922202,0.5327130010087464
Oklahoma,Donald Trump,REP,1020280,1560699,0.6537327184806295
Oregon,Joe Biden,DEM,1340383,2374321,-0.5645331865404888
Pennsylvania,Joe Biden,DEM,3459923,6925255,-0.4996094728641761
Rhode Island,Joe Biden,DEM,306210,516383,-0.5929900868154064
South Carolina,Donald Trump,REP,1385103,2513329,0.5511029395674024
South Dakota,Donald Trump,REP,261043,422609,0.6176938967225024
Tennessee,Donald Trump,REP,1852948,3054534,0.6066221557854652
Texas,Donald Trump,REP,5890347,11317911,0.5204447181109659
Utah,Donald Trump,REP,865140,1488289,0.5812983902991959
Vermont,Joe Biden,DEM,242820,367428,-0.6608641693066397
Virginia,Joe Biden,DEM,2413568,4460524,-0.5410951717780242
Washington,Joe Biden,DEM,2369612,4087631,-0.5797030113530306
West Virginia,Donald Trump,REP,545382,794652,0.6863155192461606
Wisconsin,Joe Biden,DEM,1630673,3297352,-0.4945401643500603
Wyoming,Donald Trump,REP,193559,276765,0.6993622748541181
