state,candidate,party,total_votes_winner,total_votes_total
Alabama,Donald Trump,REP,1441168,2323304
Alaska,Donald Trump,REP,189892,391346
Arizona,Joe Biden,DEM,1672143,3387326
Arkansas,Donald Trump,REP,760647,1219069
California,Joe Biden,DEM,11109764,17495906
Colorado,Joe Biden,DEM,1804352,3256953
Connecticut,Joe Biden,DEM,1080680,1824280
Delaware,Joe Biden,DEM,296268,504010
District of Columbia,Joe Biden,DEM,317323,344356
Florida,Donald Trump,REP,5668731,11067456
Georgia,Joe Biden,DEM,2473633,4997716
Hawaii,Joe Biden,DEM,366130,574469
Idaho,Donald Trump,REP,554119,868106
Illinois,Joe Biden,DEM,4253153,7215501
Indiana,Donald Trump,REP,1729852,3033198
Iowa,Donald Trump,REP,897672,1690871
Kansas,Donald Trump,REP,758100,1349567
Kentucky,Donald Trump,REP,1326646,2136768
Louisiana,Donald Trump,REP,1255776,2148062
Maine,Joe Biden,DEM,430473,813740
Maryland,Joe Biden,DEM,1985023,3037030
Massachusetts,Joe Biden,DEM,2382202,3631402
Michigan,Joe Biden,DEM,2804040,5539302
Minnesota,Joe Biden,DEM,1717077,3277171
Mississippi,Donald Trump,REP,756764,1315182
Missouri,Donald Trump,REP,1718736,3025962
Montana,Donald Trump,REP,343602,605750
Nebraska,Donald Trump,REP,556846,956379
Nevada,Joe Biden,DEM,703486,1405376
New Hampshire,Joe Biden,DEM,424921,804430
New Jersey,Joe Biden,DEM,2608335,4564234
New Mexico,Joe Biden,DEM,501614,923965
New York,Joe Biden,DEM,5244006,8613546
North Carolina,Donald Trump,REP,2758773,5524801
North Dakota,Donald Trump,REP,235595,361819
Ohio,Donald Trump,REP,3154834,5922202
Oklahoma,Donald Trump,REP,1020280,1560699
Oregon,Joe Biden,DEM,1340383,2374321
Pennsylvania,Joe Biden,DEM,3459923,6925255
Rhode Island,Joe Biden,DEM,306210,516383
South Carolina,Donald Trump,REP,1385103,2513329
South Dakota,Donald Trump,REP,261043,422609
Tennessee,Donald Trump,REP,1852948,3054534
Texas,Donald Trump,REP,5890347,11317911
Utah,Donald Trump,REP,865140,1488289
Vermont,Joe Biden,DEM,242820,367428
Virginia,Joe Biden,DEM,2413568,4460524
Washington,Joe Biden,DEM,2369612,4087631
West Virginia,Donald Trump,REP,545382,794652
Wisconsin,Joe Biden,DEM,1630673,3297352
Wyoming,Donald Trump,REP,193559,276765
