,state,average_avg_stance,average_forced_stance,user_count,weighted_avg_forced_stance
0,Alabama,-0.22009065209171394,-0.32919254658385094,161,-0.1778058007566205
1,Alaska,-0.12247375342710029,-0.2692307692307692,52,-0.11556864188443136
2,Arizona,-0.14382961758983334,-0.2868663594470046,868,-0.1398431789487676
3,Arkansas,-0.16420325706039993,-0.2222222222222222,63,-0.08352246935996369
4,California,-0.12945559588792038,-0.2504521885927891,8293,-0.09857093039716353
5,Colorado,-0.1686030980194421,-0.2916053019145803,679,-0.14101892614979566
6,Connecticut,-0.15534215743910731,-0.2716049382716049,81,-0.11990067399787166
7,Delaware,0.20220728291316525,0.16,25,0.3052294557097119
8,District of Columbia,-0.10224887329341838,-0.23318385650224216,2453,-0.07954796650856878
9,Florida,-0.11376657944667043,-0.21590052750565183,2654,-0.06430098913595456
10,Georgia,-0.10763777057446,-0.2129304286718201,1423,-0.05837213484942367
11,Hawaii,-0.0935262209622282,-0.20512820512820512,117,-0.041326983614496854
12,Idaho,-0.15011085425724965,-0.2261904761904762,84,-0.06652360515021467
13,Illinois,-0.1301781480364693,-0.27650429799426934,2094,-0.12985506980666833
14,Indiana,-0.13289512323384853,-0.18666666666666668,300,-0.034817100044072354
15,Iowa,-0.21047078451658602,-0.29770992366412213,131,-0.1519964703287007
16,Kansas,-0.10354836487174544,-0.22115384615384615,104,-0.06969309462915611
17,Kentucky,-0.12160280883457854,-0.1956521739130435,230,-0.035494460402133964
18,Louisiana,-0.12865500437233046,-0.30177514792899407,338,-0.1495928477877115
19,Maine,-0.1769230769230769,-0.3,10,-0.19163424124513617
20,Maryland,-0.13201146350007562,-0.23990498812351543,421,-0.08583836601750706
21,Massachusetts,-0.1346459235081192,-0.2223264540337711,1066,-0.0689074582190074
22,Michigan,-0.15669195860911603,-0.2550335570469799,596,-0.10291336816127701
23,Minnesota,-0.12422663052174009,-0.25067385444743934,371,-0.0974461847079702
24,Mississippi,-0.28732670837933993,-0.5,38,-0.3856088560885609
25,Missouri,-0.16528441518345233,-0.25225225225225223,555,-0.10152284263959402
26,Montana,-0.17178571428571426,-0.32142857142857145,28,-0.19174757281553398
27,Nebraska,-0.0644694350301827,-0.24299065420560748,107,-0.09579876906609591
28,Nevada,-0.16314678542369848,-0.3226205191594561,809,-0.17577177277670902
29,New Hampshire,-0.1470238095238095,-0.17857142857142858,28,-0.03817567567567567
30,New Jersey,-0.21976878458338345,-0.3656387665198238,227,-0.22311424032971292
31,New Mexico,-0.11123946248946248,-0.14189189189189189,148,0.016122913505310997
32,New York,-0.10385197398969333,-0.23265895953757226,7612,-0.07940826538824963
33,North Carolina,-0.14378994326509997,-0.26627218934911245,676,-0.11738206544836392
34,North Dakota,-0.05023923444976077,-0.10526315789473684,19,0.05959941377625796
35,Ohio,-0.14786224862957467,-0.2815884476534296,831,-0.13137927450369008
36,Oklahoma,-0.15778902284584104,-0.3352272727272727,176,-0.18889011231006397
37,Oregon,-0.1776315397312444,-0.30267558528428096,598,-0.15519853035967526
38,Pennsylvania,-0.12907394656056537,-0.26052631578947366,1520,-0.10858134795843943
39,Rhode Island,-0.15510366826156302,-0.43859649122807015,57,-0.3160729800173762
40,South Carolina,-0.18870997423629002,-0.2966507177033493,209,-0.14055246587305245
41,South Dakota,-0.05555555555555555,-1.0,2,-1.0
42,Tennessee,-0.12534156738336621,-0.21756756756756757,740,-0.06311052995923407
43,Texas,-0.14565345771137944,-0.27414928649835346,3644,-0.12625613922418133
44,Utah,-0.15078720973457815,-0.3027027027027027,185,-0.15663592308894803
45,Vermont,-0.15152916936005173,-0.40625,32,-0.26979742173112337
46,Virginia,-0.16810538123507152,-0.26223776223776224,286,-0.11003009027081247
47,Washington,-0.16233764299028886,-0.29534192269573833,1009,-0.14851211204716996
48,West Virginia,-0.14492753623188404,-0.17391304347826086,23,-0.024600246002460014
49,Wisconsin,-0.17693628255694857,-0.33676975945017185,291,-0.18939166916391978
50,Wyoming,-0.24019323671497586,-0.1111111111111111,9,0.062821833161689
